cell_line.hCAGE-epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep1.CNhs12325.10815-111B5.hg19.ctss.bed	epitheloid_20carcinoma_20cell_20line_3a_20HelaS3_20ENCODE_2c_20biol_rep1_CNhs12325_10815_111B5_hg19_ctss
cell_line.hCAGE-epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep2.CNhs12326.10816-111B6.hg19.ctss.bed	epitheloid_20carcinoma_20cell_20line_3a_20HelaS3_20ENCODE_2c_20biol_rep2_CNhs12326_10816_111B6_hg19_ctss
cell_line.hCAGE-epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep3.CNhs12327.10817-111B7.hg19.ctss.bed	epitheloid_20carcinoma_20cell_20line_3a_20HelaS3_20ENCODE_2c_20biol_rep3_CNhs12327_10817_111B7_hg19_ctss
cell_line.hCAGE-extraskeletal myxoid chondrosarcoma cell line:H-EMC-SS.CNhs10728.10410-106B5.hg19.ctss.bed	extraskeletal_20myxoid_20chondrosarcoma_20cell_20line_3aH_EMC_SS_CNhs10728_10410_106B5_hg19_ctss
cell_line.hCAGE-fibrosarcoma cell line:HT-1080.CNhs11860.10758-110E2.hg19.ctss.bed	fibrosarcoma_20cell_20line_3aHT_1080_CNhs11860_10758_110E2_hg19_ctss
cell_line.hCAGE-fibrous histiocytoma cell line:GCT TIB-223.CNhs11842.10711-109H9.hg19.ctss.bed	fibrous_20histiocytoma_20cell_20line_3aGCT_20TIB_223_CNhs11842_10711_109H9_hg19_ctss
cell_line.hCAGE-gall bladder carcinoma cell line:TGBC14TKB.CNhs11256.10470-106I2.hg19.ctss.bed	gall_20bladder_20carcinoma_20cell_20line_3aTGBC14TKB_CNhs11256_10470_106I2_hg19_ctss
cell_line.hCAGE-gall bladder carcinoma cell line:TGBC2TKB.CNhs10733.10415-106C1.hg19.ctss.bed	gall_20bladder_20carcinoma_20cell_20line_3aTGBC2TKB_CNhs10733_10415_106C1_hg19_ctss
cell_line.hCAGE-gastric adenocarcinoma cell line:MKN1.CNhs11737.10614-108G2.hg19.ctss.bed	gastric_20adenocarcinoma_20cell_20line_3aMKN1_CNhs11737_10614_108G2_hg19_ctss
cell_line.hCAGE-gastric adenocarcinoma cell line:MKN45.CNhs11819.10612-108F9.hg19.ctss.bed	gastric_20adenocarcinoma_20cell_20line_3aMKN45_CNhs11819_10612_108F9_hg19_ctss
cell_line.hCAGE-gastric cancer cell line:AZ521.CNhs11286.10549-107H9.hg19.ctss.bed	gastric_20cancer_20cell_20line_3aAZ521_CNhs11286_10549_107H9_hg19_ctss
cell_line.hCAGE-gastrointestinal carcinoma cell line:ECC12.CNhs11738.10615-108G3.hg19.ctss.bed	gastrointestinal_20carcinoma_20cell_20line_3aECC12_CNhs11738_10615_108G3_hg19_ctss
cell_line.hCAGE-giant cell carcinoma cell line:LU65.CNhs11274.10487-107B1.hg19.ctss.bed	giant_20cell_20carcinoma_20cell_20line_3aLU65_CNhs11274_10487_107B1_hg19_ctss
